Change Footprint: Cannot match pads with new footprint in component :L3 Footprint:WE-PD2_1054
Change Component Comment : Designator=L3 Old Comment=220uH New Comment=744776227
Change Managed Component Library Link : Designator=L3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=20B15B5F-BEAB-4CF7-8A0B-6DEBA0504057 Old RevisionGUID= New RevisionGUID=24911B03-6D1B-4363-B4B7-CEAF5F29FEE2
Change component parameters: Designator = "L3" ("L3"); Footprint = "WE-PD2_7850"; UniqueID = "\BAIOMWWF" ("\BAIOMWWF")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "620mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "500m?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "5.4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "270µH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "24533346"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "4MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "10mm"; VariantName = "[No Variations]"
